Année de Year Date;Adjusted for Inflation Notes;Adjusted for Inflation Title;Format;Metric;Year;Value (For Charting);Adjusted for Inflation Flag;Year Date;Format Value # (Billion);Format Value # (Million);Total Value # (Billion);Total Value # (Million);Total Value For Year;Value (Actual);Year (copy)
1973;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1973;3355,8; (adjusted for inflation, 2023 dollars);1973;€3,4B;;€13,8B;;€13839,3B;3355,8;1973
1974;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1974;3394,4; (adjusted for inflation, 2023 dollars);1974;€3,4B;;€13,6B;;€13595,4B;3394,4;1974
1975;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1975;3301,9; (adjusted for inflation, 2023 dollars);1975;€3,3B;;€13,5B;;€13527,7B;3301,9;1975
1976;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1976;3631,8; (adjusted for inflation, 2023 dollars);1976;€3,6B;;€14,7B;;€14657,2B;3631,8;1976
1977;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1977;4077,8; (adjusted for inflation, 2023 dollars);1977;€4,1B;;€17,6B;;€17602,4B;4077,8;1977
1978;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1978;4430,3; (adjusted for inflation, 2023 dollars);1978;€4,4B;;€19,3B;;€19307,5B;4430,3;1978
1979;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1979;2872; (adjusted for inflation, 2023 dollars);1979;€2,9B;;€15,4B;;€15426,1B;2872;1979
1980;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1980;1948,8; (adjusted for inflation, 2023 dollars);1980;€1,9B;;€13,6B;;€13615,5B;1948,8;1980
1981;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1981;1049,2; (adjusted for inflation, 2023 dollars);1981;€1,0B;;€13,3B;;€13320,8B;1049,2;1981
1982;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;8 - Track;Value (Adjusted);1982;113,7; (adjusted for inflation, 2023 dollars);1982;;€113,7M;€11,5B;;€11457,5B;113,7;1982
1983;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1983;52,6; (adjusted for inflation, 2023 dollars);1983;;€52,6M;€11,6B;;€11583,6B;52,6;1983
1984;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1984;302,9; (adjusted for inflation, 2023 dollars);1984;;€302,9M;€12,7B;;€12712,1B;302,9;1984
1985;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1985;1103; (adjusted for inflation, 2023 dollars);1985;€1,1B;;€12,4B;;€12353,7B;1103;1985
1986;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1986;2585,8; (adjusted for inflation, 2023 dollars);1986;€2,6B;;€12,9B;;€12901,7B;2585,8;1986
1987;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1987;4274,4; (adjusted for inflation, 2023 dollars);1987;€4,3B;;€14,9B;;€14924,0B;4274,4;1987
1988;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1988;5382,9; (adjusted for inflation, 2023 dollars);1988;€5,4B;;€16,1B;;€16110,1B;5382,9;1988
1989;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1989;6358,7; (adjusted for inflation, 2023 dollars);1989;€6,4B;;€16,2B;;€16169,3B;6358,7;1989
1990;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1990;8046,7; (adjusted for inflation, 2023 dollars);1990;€8,0B;;€17,6B;;€17580,6B;8046,7;1990
1991;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1991;9704,2; (adjusted for inflation, 2023 dollars);1991;€9,7B;;€17,5B;;€17526,4B;9704,2;1991
1992;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1992;11568; (adjusted for inflation, 2023 dollars);1992;€11,6B;;€19,6B;;€19598,0B;11568;1992
